periodo	numero_periodo	numero_unico	estado	fecha_publicacion	fecha_actualizacion	legislatura	proponente	grupo_parlamentario	autores	adherentes	sectores	tiene_ley	titulo
2016-2021	00001	00001/2020-CR	En comisión	2016/08/04	2017/07/03	Primera Legislatura Ordinaria 2020	Congreso	Frente Amplio por Justicia, Vida y Libertad	"Dammert Ego Aguirre Manuel Enrique Ernesto;Arana Zegarra Marco Antonio;Canzio Álvarez Mario José;Castro Bravo Jorge Andrés;Ochoa Pezo Édgar Américo;Rozas Beltrán Wilbert Gabriel;Tucto Castillo Rogelio Robert"	"Glave Remy Marisa;Quintanilla Chacón Alberto Eugenio"	"Energía y Minas;Economía, Banca, Finanzas e Inteligencia Financiera"	true	LEY DEL ACUERDO PATRIÓTICO DE SOBERANÍA SOBRE EL GAS, RENEGOCIACIÓN DEL CONTRATO DE EXPORTACIÓN CON MÉXICO Y QUE ESTABLECE EL CONTRATO DE SERVICIOS PARA EL APROVECHAMIENTO DEL GAS GARANTIZANDO LA PROPIEDAD DE LA NACIÓN SOBRE LA MOLÉCULA DEL GAS NATURAL Y LA DETERMINACIÓN DE SUS USOS
2016-2021	00002	00002/2016-PE	Publicado El Peruano	2016/08/04	2016/08/27	Primera Legislatura Ordinaria 2016	Poder Ejecutivo (Con carácter de Urgente)		""	""	"Economía, Banca, Finanzas e Inteligencia Financiera;Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos"	true	LEY QUE MODIFICA EL NUMERAL 74.2 DEL ART. 74 DE LA LEY 27809-LEY GENERAL DEL SISTEMA CONCURSAL
2016-2021	00003	00003/2016-PE	Al Archivo	2016/08/04	2017/04/05	Primera Legislatura Ordinaria 2016	Poder Ejecutivo (Con carácter de Urgente)		""	""	"Defensa Nacional, Orden Interno, Desarrollo Alternativo y Lucha Contra las Drogas"	true	AUTORIZACIÓN.-INGRESO PERSONAL MILITAR EXTRANJERO AL TERRITORIO DE LA REPÚBLICA..
2016-2021	00004	00004/2016-CR	Publicado El Peruano	2016/08/09	2016/08/15	Primera Legislatura Ordinaria 2016	Congreso	Fuerza Popular	"Galarreta Velarde Luis Fernando;Chacón De Vettori Cecilia Isabel;Alcorta Suero María Lourdes Pía Luisa;Becerril Rodríguez Héctor Virgilio;Bartra Barriga Rosa María;Salaverry Villa Daniel Enrique"	""	""	true	RESOLUCIÓN LEGISLATIVA DEL CONGRESO QUE MODIFICA LOS ARTÍCULOS 13, 15 DEL ESTATUTO DEL SERVICIO PARLAMENTARIO
2016-2021	00005	00005/2016-CR	En comisión	2016/08/09	2017/05/08	Primera Legislatura Ordinaria 2016	Congreso	Frente Amplio por Justicia, Vida y Libertad	"Arana Zegarra Marco Antonio;Curro López Edilberto;Foronda Farro María Elena;Glave Remy Marisa;Huilca Flores Indira Isabel;Pacori Mamani Oracio Ángel;Pariona Tarqui Tania Edith;Rozas Beltrán Wilbert Gabriel;Zeballos Patrón Horacio;Acuña Núñez Richard Frank;Aguilar Montenegro Wilmer"	"Quintanilla Chacón Alberto Eugenio"	"Constitución y Reglamento"	true	REGL.CONGRESO.-70,73,75,77,78/CONSULTA PREVIA A PUEBLOS INDÍGENAS
2016-2021	00006	00006/2016-CR	Publicado El Peruano	2016/08/10	2016/08/15	Primera Legislatura Ordinaria 2016	Congreso	Multipartidario	"Salgado Rubianes Luz Filomena;Lescano Ancieta Yonhy;Mulder Bedoya Claude Maurice;Rodríguez Zavaleta Elías Nicolás;Bruce Montes De Oca Carlos Ricardo;Espinoza Cruz Marisol;Acuña Núñez Richard Frank;Arana Zegarra Marco Antonio;Bartra Barriga Rosa María;Salaverry Villa Daniel Enrique"	""	""	true	RESOLUCIÓN LEGISLATIVA DEL CONGRESO DE LA REPÚBLICA QUE AUTORIZA A LA CONGRESISTA Y SEGUNDA VICEPRESIDENTA DE LA REPÚBLICA PARA QUE EJERZA LA PRESIDENCIA DE LA COMISIÓN EXTRAORDINARIA DE ALTO NIVEL APEC 2016
2016-2021	00007	00007/2016-CR	En comisión	2016/08/10	2016/08/19	Primera Legislatura Ordinaria 2016	Congreso	Fuerza Popular	"Ávila Rojas Lucio;Torres Morales Miguel Ángel;Letona Pereyra María Úrsula Ingrid;Lizana Santos Mártires;Melgarejo Páucar María Cristina;Reátegui Flores Rolando;Galarreta Velarde Luis Fernando;Bustos Espinoza Estelita Sonia"	""	"Comercio Exterior y Turismo;Economía, Banca, Finanzas e Inteligencia Financiera"	true	LEY QUE CREA LA ZONA FRANCA, INDUSTRIAL Y COMERCIAL DE PUNO-ZOFRAINCOMPUNO, MODIFICA EL TÍTULO Y LOS ARTÍCULOS 1, 3, 11, 33, DE LA LEY 28864 LEY DE LA ZONA ECONÓMICA ESPECIAL DE PUNO-ZEEDE PUNO E INCORPORA LOS ARTÍCULOS 4-A, 4-B,38,39,40,41.
2016-2021	00008	00008/2016-PE	Publicado El Peruano	2016/08/10	2016/08/25	Primera Legislatura Ordinaria 2016	Poder Ejecutivo (Con carácter de Urgente)		""	""	"Presupuesto y Cuenta General de la República"	true	LEY DE FORTALECIMIENTO DE LA RESPONSABILIDAD Y TRANSPARENCIA FISCAL
2016-2021	00009	00009/2016-PE	Publicado El Peruano	2016/08/10	2016/08/27	Primera Legislatura Ordinaria 2016	Poder Ejecutivo (Con carácter de Urgente)		""	""	"Defensa Nacional, Orden Interno, Desarrollo Alternativo y Lucha Contra las Drogas"	true	AUTORIZACIÓN.- INGRESO UNIDAD NAVAL Y PERSONAL MILITAR EXTRANJERO
2016-2021	00010	00010/2016-CR	Al Archivo	2016/08/11	2016/12/06	Primera Legislatura Ordinaria 2016	Congreso	Frente Amplio por Justicia, Vida y Libertad	"Apaza Ordóñez Justiniano Rómulo;Morales Ramírez Edyson Humberto;Castro Bravo Jorge Andrés;Curro López Edilberto;Rozas Beltrán Wilbert Gabriel;Tucto Castillo Rogelio Robert"	""	"Constitución y Reglamento;Justicia y Derechos Humanos"	true	LEY QUE MODIFICA LA LEY ORGÁNICA DEL TRIBUNAL CONSTITUCIONAL
2016-2021	00011	00011/2016-CR	Publicado El Peruano	2016/08/11	2020/07/23	Primera Legislatura Ordinaria 2016	Congreso	Fuerza Popular	"Tapia Bernal Segundo Leocadio;Salazar Miranda Octavio Edilberto;Pariona Galindo Federico;Saavedra Vela Esther;Melgar Valdez Elard Galo;Beteta Rubín Karina Juliza;Herrera Arévalo Marita"	""	"Transportes y Comunicaciones"	true	LEY QUE DECLARA DE INTERÉS Y NECESIDAD PÚBLICA EL MEJORAMIENTO DE LA CARRETERA DE INTEGRACIÓN ALFONSO BARRANTES LINGAN EN LA PROVINCIA DE SAN MIGUEL, REGIÓN CAJAMARCA
2016-2021	00012	00012/2016-CR	En comisión	2016/08/11	2016/08/19	Primera Legislatura Ordinaria 2016	Congreso	Fuerza Popular	"Tapia Bernal Segundo Leocadio;Saavedra Vela Esther;Salazar Miranda Octavio Edilberto;Pariona Galindo Federico;Beteta Rubín Karina Juliza;Melgar Valdez Elard Galo;Herrera Arévalo Marita"	""	"Presupuesto y Cuenta General de la República;Salud y Población"	true	LEY QUE PROPONE EL NOMBRAMIENTO DEL PERSONAL DE LA SALUD CONTRATADOS BAJO LA MODALIDAD DE SERVICIOS NO PERSONLES (SNP) Y MEDIANTE EL RÉGIMEN LABORAL DEL D.L. 728
2016-2021	00013	00013/2016-CR	En comisión	2016/08/11	2016/08/19	Primera Legislatura Ordinaria 2016	Congreso	Fuerza Popular	"Tapia Bernal Segundo Leocadio;Beteta Rubín Karina Juliza;Melgar Valdez Elard Galo;Pariona Galindo Federico;Saavedra Vela Esther;Salazar Miranda Octavio Edilberto;Herrera Arévalo Marita"	""	"Presupuesto y Cuenta General de la República;Salud y Población"	true	LEY QUE AUTORIZA EL NOMBRAMIENTO DE LOS MÉDICOS CIRUJANOS CONTRATADOS EN EL MINISTERIO DE DEFENSA, MINISTERIO DEL INTERIOR, MINISTERIO DE JUSTICIA, MINISTERIO PÚBLICO, MINISTERIO DE EDUCACIÓN Y UNIVERSIDADES NACIONALES, MEDIANTE LOS MISMOS ALCANCES DE LA LEY 29682
2016-2021	00014	00014/2016-CR	Orden del Día	2016/08/11	2018/10/11	Primera Legislatura Ordinaria 2016	Congreso	Fuerza Popular	"Tapia Bernal Segundo Leocadio;Beteta Rubín Karina Juliza;Melgar Valdez Elard Galo;Pariona Galindo Federico;Saavedra Vela Esther;Salazar Miranda Octavio Edilberto;Herrera Arévalo Marita"	""	"Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado;Constitución y Reglamento"	true	GOBIERNOS.-REGIONALES L.27867/MODIFICA ART. 30 DE LA LEY ORGÁNICA DE..
2016-2021	00015	00015/2016-CR	Dictamen	2016/08/11	2019/09/12	Primera Legislatura Ordinaria 2016	Congreso	Fuerza Popular	"Tapia Bernal Segundo Leocadio;Pariona Galindo Federico;Melgar Valdez Elard Galo;Saavedra Vela Esther;Herrera Arévalo Marita;Beteta Rubín Karina Juliza"	""	"Presupuesto y Cuenta General de la República;Salud y Población"	true	LEY QUE INCORPORA A LOS MÉDICOS Y PROFESIONALES DE LA SALUD DE LAS UNIVERSIDADES PÚBLICAS NOMBRADOS BAJO EL RÉGIMEN LABORAL 276, EN EL ÁMBITO DE APLICACIÓN DEL D.L. 1153
2016-2021	00016	00016/2016-CR	Retirado	2016/08/11	2016/09/22	Primera Legislatura Ordinaria 2016	Congreso	Fuerza Popular	"Melgar Valdez Elard Galo;Chacón De Vettori Cecilia Isabel;Beteta Rubín Karina Juliza;Albrecht Rodríguez Víctor Augusto;Alcalá Mateo Percy Eloy;Palma Mendoza José Marvín;Torres Morales Miguel Ángel;Becerril Rodríguez Héctor Virgilio"	""	"Agraria"	true	DEROGA LA LEY 30157, LEY DE LAS ORGANIZACIONES DE USUARIOS DEL AGUA
2016-2021	00017	00017/2016-CR	Publicado El Peruano	2016/08/11	2016/12/13	Primera Legislatura Ordinaria 2016	Congreso	Fuerza Popular	"Torres Morales Miguel Ángel;Chacón De Vettori Cecilia Isabel;Beteta Rubín Karina Juliza;Melgar Valdez Elard Galo;Tubino Arias Schreiber Carlos Mario Del Carmen;Castro Grández Miguel Antonio;Robles Uribe Lizbeth Hilda;Gonzales Ardiles Juan Carlos Eugenio"	""	"Economía, Banca, Finanzas e Inteligencia Financiera;Producción, Micro y Pequeña Empresa y Cooperativas"	true	LEY QUE PRÓRROGA DEL PAGO DE IGV PARA LA MICRO Y PEQUEÑA EMPRESA-'IGV JUSTO'
2016-2021	00018	00018/2016-CR	Publicado El Peruano	2016/08/11	2017/01/14	Primera Legislatura Ordinaria 2016	Congreso	Fuerza Popular	"Mamani Colquehuanca Moisés;Tapia Bernal Segundo Leocadio;Figueroa Minaya Modesto;Lizana Santos Mártires;Ramírez Gamarra Osías;Ticlla Rafael Carlos Humberto;Vergara Pinto Edwin"	"Ávila Rojas Lucio"	"Vivienda y Construcción"	true	LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA VIABILIDAD DE LA EJECUCIÓN DEL PROYECTO DE INVERSIÓN PÚBLICA 'MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO DEL DISTRITO DE JULIACA, PROV. DE SAN ROMÁN, DEPARTAMENTO DE PUNO
2016-2021	00019	00019/2016-CR	Publicado El Peruano	2016/08/11	2017/12/29	Primera Legislatura Ordinaria 2016	Congreso	Fuerza Popular	"Elías Ávalos Miguel Ángel;Fujimori Higuchi Kenji Gerardo;Schaefer Cuculiza Karla Melissa;Bustos Espinoza Estelita Sonia;Letona Pereyra María Úrsula Ingrid;López Vilela Luis Humberto;Miyashiro Arashiro Marco Enrique;Petrozzi Franco Francisco Enrique Hugo;Ramírez Gamarra Osías;Ventura Ángel Roy Ernesto"	""	"Vivienda y Construcción"	true	LEY QUE AMPLÍA EL PLAZO DE VIGENCIA DEL RÉGIMEN TEMPORAL EXTRAORDINARIO DE FORMALIZACIÓN Y TITULACIÓN DE LA PROPIEDAD EN PREDIOS URBANOS Y RURALES UBICADOS EN LAS ZONAS AFECTADAS POR LOS SISMOS DEL 15 DE AGOSTO 2007
2016-2021	00020	00020/2016-CR	Orden del Día	2016/08/12	2017/11/09	Primera Legislatura Ordinaria 2016	Congreso	Fuerza Popular	"Becerril Rodríguez Héctor Virgilio;Schaefer Cuculiza Karla Melissa;Dipas Huamán Miky Joaquín;Segura Izquierdo César Antonio;Ushñahua Huasanga Glider Agustín;Vergara Pinto Edwin"	""	"Presupuesto y Cuenta General de la República;Salud y Población"	true	LEY QUE EXCEPTÚA POR ÚNICA VEZ DE LA APLICACIÓN DEL NUMERAL 8.1 DEL ARTÍCULO 8 DE LA LEY 30372 AL HOSPITAL REGIONAL LAMBAYEQUE PARA COBERTURAR PLAZAS VACANTES POR CONCURSO
2016-2021	00021	00021/2016-CR	Publicado El Peruano	2016/08/12	2017/08/11	Primera Legislatura Ordinaria 2016	Congreso	Fuerza Popular	"Tapia Bernal Segundo Leocadio;Beteta Rubín Karina Juliza;Melgar Valdez Elard Galo;Pariona Galindo Federico;Saavedra Vela Esther;Salazar Miranda Octavio Edilberto;Herrera Arévalo Marita"	""	"Trabajo y Seguridad Social"	true	LEY QUE PROPONE DEROGAR LA PRIMERA DISPOSICIÓN COMPLEMENTARIA MODIFICATORIA Y EL NUMERAL 13 DE LA DISPOSICIÓN COMPLEMENTARIA DEROGATORIA ÚNICA DEL D.L. 1153 Y MODIFICA EL ARTÍCULO 9 Y RESTITUYE LOS ARTÍCULOS 11, 13, 23, 24 Y 25 DE LA LEY DE TRABAJO MÉDICO
2016-2021	00022	00022/2016-CGR	Dictamen Negativo	2016/08/12	2019/03/14	Primera Legislatura Ordinaria 2016	Contraloría General de la República		""	""	"Justicia y Derechos Humanos;Presupuesto y Cuenta General de la República"	true	LEY QUE TRANSFIERE LA PROCURADURÍA PÚBLICA ESPECIALIZADA EN DELITOS DE CORRUPCIÓN A LA CONTRALORÍA GENERAL DE LA REPÚBLICA
2016-2021	00023	00023/2016-CGR	Publicado El Peruano	2016/08/12	2016/12/09	Primera Legislatura Ordinaria 2016	Contraloría General de la República		""	""	"Fiscalización y Contraloría;Justicia y Derechos Humanos"	true	LEY QUE EXTIENDE LA OBLIGACIÓN DE PRESENTAR DECLARACIÓN JURADA DE INGRESOS, BIENES Y RENTAS PARA INCREMENTAR LOS ALCANCES DE LA FISCALIZACIÓN QUE REALIZA LA CONTRALORÍA GENERAL DE LA REPÚBLICA
2016-2021	00024	00024/2016-CGR	En comisión	2016/08/12	2016/08/19	Primera Legislatura Ordinaria 2016	Contraloría General de la República		""	""	"Fiscalización y Contraloría;Economía, Banca, Finanzas e Inteligencia Financiera"	true	LEY QUE PLANTEA MODIFICACIONES A LA LEY DE CONTRATACIONES DEL ESTADO PARA FORTALECER LA LUCHA CONTRA LA CORRUPCIÓN
2016-2021	00025	00025/2016-CGR	En comisión	2016/08/12	2016/08/19	Primera Legislatura Ordinaria 2016	Contraloría General de la República		""	""	"Fiscalización y Contraloría"	true	LEY QUE FACULTA AL CONTROL GUBERNAMENTAL PARA LA INMOVILIZCIÓN Y CUSTODIA TEMPORAL DE LOS DOCUMENTOS DE LAS ENTIDADES PÚBLICAS
2016-2021	00026	00026/2016-CGR	Orden del Día	2016/08/12	2017/05/02	Primera Legislatura Ordinaria 2016	Contraloría General de la República		""	""	"Fiscalización y Contraloría"	true	LEY QUE FACULTA A LA CONTRALORÍA GENERAL DE LA REPÚBLICA PARA DISPONER LA INTERVENCIÓN DE LAS ENTIDADES POR EL CONTROL GUBERNAMENTAL MEDIANTE EL EJERCICIO DEL CONTROL PREVIO Y SIMULTÁNEO
2016-2021	00027	00027/2016-CGR	Publicado El Peruano	2016/08/12	2017/06/24	Primera Legislatura Ordinaria 2016	Contraloría General de la República		""	""	"Fiscalización y Contraloría;Economía, Banca, Finanzas e Inteligencia Financiera"	true	LEY DE FORTALECIMIENTO DEL CONTROL PREVIO DE LA CONTRALORÍA GENERAL DE LA REPÚBLICA EN LOS PROCESOS DE PROMOCIÓN A LA INVERSIÓN PRIVADA
2016-2021	00028	00028/2016-CGR	Retirado	2016/08/12	2016/09/13	Primera Legislatura Ordinaria 2016	Contraloría General de la República		""	""	"Justicia y Derechos Humanos "	true	LEY QUE PROPONE MODIFICAR LA COMPETENCIA DE LOS JUZGADOS PENALES NACIONALES Y LA SALA PENAL NACIONAL RESPECTO DE DELITOS CONTRA LA ADMINISTRACIÓN PÚBLICA
2016-2021	00029	00029/2016-CGR	En comisión	2016/08/12	2016/08/19	Primera Legislatura Ordinaria 2016	Contraloría General de la República		""	""	"Fiscalización y Contraloría"	true	LEY QUE REGULA LA EMISIÓN DE OPINIÓN TÉCNICO JURÍDICA POR LA CONTRALORÍA GENERAL DE LA REPÚBLICA EN LOS CASOS DE DENUNCIAS CONTRA EL PERSONAL DE LOS ÓRGANOS CONFORMANTES DEL SISTEMA NACIONAL DE CONTROL
2016-2021	00030	00030/2016-CGR	Publicado El Peruano	2016/08/12	2016/11/10	Primera Legislatura Ordinaria 2016	Contraloría General de la República		""	""	"Justicia y Derechos Humanos"	true	LEY QUE INCORPORA EL LITERAL J) AL ARTÍCULO 9 DE LA LEY 26872, LEY DE CONCILIACIÓN, MODIFICADA POR LA LEY 29876, MEDIANTE EL CUAL SE ESTABLECE QUE NO RESULTA EXIGIBLE LA CONCILIACIÓN EXTRAJUDICIAL A LAS ACCIONES LEGALES INDEMNIZATORIAS EJERCIDAS POR LA CONTRALORÍA GENERAL DE LA REPÚBLICA
2016-2021	00031	00031/2016-CGR	Orden del Día	2016/08/12	2019/09/16	Primera Legislatura Ordinaria 2016	Contraloría General de la República		""	""	"Fiscalización y Contraloría;Economía, Banca, Finanzas e Inteligencia Financiera"	true	LEY QUE REGULA LA EJECUCIÓN DE OBRAS PÚBLICAS POR ADMINISTRACIÓN DIRECTA
2016-2021	00032	00032/2016-CGR	Retirado	2016/08/12	2016/09/13	Primera Legislatura Ordinaria 2016	Contraloría General de la República		""	""	"Justicia y Derechos Humanos"	true	LEY QUE MODIFICA LOS ARTÍCULOS 384, 387 DEL CÓDIGO PENAL, PROMULGADO POR DECRETO LEGISLATIVO 635, QUE REPRIMEN CON PENA PRIVATIVA DE LA LIBERTAD LOS DELITOS DE COLUSIÓN Y PECULADO
2016-2021	00033	00033/2016-CGR	Al Archivo	2016/08/12	2019/07/25	Primera Legislatura Ordinaria 2016	Contraloría General de la República		""	""	"Fiscalización y Contraloría"	true	LEY QUE DISPONE EL ACCESO DE LA CONTRALORÍA GENERAL DE LA REPÚBLICA A LAS BASES DE DATOS DE LAS ENTIDADES PÚBLICAS
2016-2021	00034	00034/2016-PE	Publicado El Peruano	2016/08/12	2016/08/20	Primera Legislatura Ordinaria 2016	Poder Ejecutivo		""	""	""	true	SUPERINTENDENTA.-BANCA,SEGUROS/DESIGNAR A MARÍA DEL SOCORRO HEYSEN ZEGARRA
2016-2021	00035	00035/2016-PE	Dictamen Negativo	2016/08/15	2016/10/20	Primera Legislatura Ordinaria 2016	Poder Ejecutivo		""	""	"Presupuesto y Cuenta General de la República"	true	CUENTA GENERAL DE LA REPÚBLICA 2015/PROPONE LA..
2016-2021	00036	00036/2016-CR	Retirado	2016/08/15	2016/09/23	Primera Legislatura Ordinaria 2016	Congreso	Célula Parlamentaria Aprista	"Rodríguez Zavaleta Elías Nicolás;León Romero Luciana Milagros;Velásquez Quesquén Angel Javier"	""	"Salud y Población"	true	LEY QUE DECLARA DE NECESIDAD PÚBLICA Y PREFERENTE INTERÉS NACIONAL LA CONSTRUCCIÓN DEL NUEVO HOSPITAL REGIONAL DOCENTE DE TRUJILLO Y DEL HOSPITAL BELÉN EN LA REGIÓN LA LIBERTAD
2016-2021	00037	00037/2016-CR	Retirado	2016/08/15	2016/09/23	Primera Legislatura Ordinaria 2016	Congreso	Célula Parlamentaria Aprista	"Rodríguez Zavaleta Elías Nicolás;Velásquez Quesquén Angel Javier;León Romero Luciana Milagros"	""	"Defensa Nacional, Orden Interno, Desarrollo Alternativo y Lucha Contra las Drogas"	true	LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CREACIÓN DEL PROGRAMA NACIONAL MULTISECTORIAL PERÚ SEGURO
2016-2021	00038	00038/2016-CR	Retirado	2016/08/15	2016/09/22	Primera Legislatura Ordinaria 2016	Congreso	Célula Parlamentaria Aprista	"Rodríguez Zavaleta Elías Nicolás;Velásquez Quesquén Angel Javier;León Romero Luciana Milagros"	""	"Transportes y Comunicaciones"	true	LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CONSTRUCCIÓN DEL TREN DEL PACÍFICO
2016-2021	00039	00039/2016-CR	Retirado	2016/08/15	2016/09/22	Primera Legislatura Ordinaria 2016	Congreso	Célula Parlamentaria Aprista	"Rodríguez Zavaleta Elías Nicolás;León Romero Luciana Milagros;Velásquez Quesquén Angel Javier"	""	"Constitución y Reglamento"	true	LEY QUE MODIFICA EL ARTÍCULO 90 DE LA CONSTITUCIÓN QUE PROPONE LA CREACIÓN DEL SENADO, LA CÁMARA DE DIPUTADOS Y LA RENOVACIÓN POR TERCIOS
2016-2021	00040	00040/2016-CR	Retirado	2016/08/15	2016/09/22	Primera Legislatura Ordinaria 2016	Congreso	Célula Parlamentaria Aprista	"Rodríguez Zavaleta Elías Nicolás;León Romero Luciana Milagros;Velásquez Quesquén Angel Javier"	""	"Transportes y Comunicaciones;Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado"	true	LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA EL MEJORAMIENTO DEL BORDE COSTERO EN LOS BALNEARIOS LAS DELICIAS BUENOS AIRES Y HUANCHACO
2016-2021	00041	00041/2016-CR	Retirado	2016/08/15	2016/09/22	Primera Legislatura Ordinaria 2016	Congreso	Célula Parlamentaria Aprista	"Rodríguez Zavaleta Elías Nicolás;Velásquez Quesquén Angel Javier;León Romero Luciana Milagros"	""	"Agraria;Economía, Banca, Finanzas e Inteligencia Financiera"	true	LEY QUE MEJORA EL RÉGIMEN LABORAL Y DE SEGURIDAD SOCIAL A LOS TRABAJADORES QUE SE ENCUENTRAN BAJO EL RÉGIMEN LABORAL DE LA LEY 27360 'LEY DE PROMOCIÓN AGRARIA'
2016-2021	00042	00042/2016-CR	Retirado	2016/08/15	2016/09/22	Primera Legislatura Ordinaria 2016	Congreso	Célula Parlamentaria Aprista	"Rodríguez Zavaleta Elías Nicolás;León Romero Luciana Milagros;Velásquez Quesquén Angel Javier"	""	"Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado"	true	LEY QUE CREA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DE CIUDAD 'TARAPACÁ' EN EL DISTRITO DE CHAO, PROVINCIA DE VIRÚ, DEPARTAMENTO Y REGIÓN LA LIBERTAD
2016-2021	00043	00043/2016-CR	Retirado	2016/08/15	2016/09/22	Primera Legislatura Ordinaria 2016	Congreso	Célula Parlamentaria Aprista	"Rodríguez Zavaleta Elías Nicolás;León Romero Luciana Milagros;Velásquez Quesquén Angel Javier"	""	"Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología"	true	LEY QUE DECLARA DE NECESIDAD PÚBLICA Y DE PREFERENTE INTERÉS NACIONAL LA PROTECCIÓN, RECUPERACIÓN, CONSERVACIÓN Y PROMOCIÓN DE LA LAGUNA DE PÍAS, DISTRITO DE PÍAS, PROVINCIA DE PATAZ, DEPARTAMENTO DE LA LIBERTAD.
2016-2021	00044	00044/2016-CR	Retirado	2016/08/15	2016/09/22	Primera Legislatura Ordinaria 2016	Congreso	Célula Parlamentaria Aprista	"Rodríguez Zavaleta Elías Nicolás;Velásquez Quesquén Angel Javier;León Romero Luciana Milagros"	""	"Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología;Cultura y Patrimonio Cultural"	true	LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA IMPLEMENTACIÓN DEL PARQUE ARQUEOLÓGICO Y ECOLÓGICO DE PUÉMAPE, UBICADO EN EL DISTRITO DE SAN PEDRO DE LLOC, PROVINCIA DE PACASMAYO, DEPARTAMENTO Y REGIÓN LA LIBERTAD
2016-2021	00045	00045/2016-CR	Retirado	2016/08/15	2016/09/22	Primera Legislatura Ordinaria 2016	Congreso	Célula Parlamentaria Aprista	"Rodríguez Zavaleta Elías Nicolás;Velásquez Quesquén Angel Javier;León Romero Luciana Milagros"	""	"Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología;Cultura y Patrimonio Cultural"	true	LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CONSERVACIÓN DEL PARQUE ARQUEOLÓGICO Y ECOLÓGICO DE GUAÑAPE, PROVINCIA DE VIRÚ, REGIÓN LA LIBERTAD
2016-2021	00046	00046/2016-CR	Retirado	2016/08/15	2016/09/22	Primera Legislatura Ordinaria 2016	Congreso	Célula Parlamentaria Aprista	"Rodríguez Zavaleta Elías Nicolás;Velásquez Quesquén Angel Javier;León Romero Luciana Milagros"	""	"Trabajo y Seguridad Social;Economía, Banca, Finanzas e Inteligencia Financiera"	true	TRABAJADOR PORTUARIO L.27866/MODIFICA ARTÍCULO 17, LEY DEL...
2016-2021	00047	00047/2016-CR	Retirado	2016/08/15	2016/09/09	Primera Legislatura Ordinaria 2016	Congreso	Célula Parlamentaria Aprista	"Rodríguez Zavaleta Elías Nicolás;Velásquez Quesquén Angel Javier;León Romero Luciana Milagros"	""	"Cultura y Patrimonio Cultural"	true	LEY QUE CREA LA COMISIÓN BICENTENARIO DE LA INDEPENDENCIA NACIONAL DE LA BENEMÉRITA Y FIDELÍSIMA A LA PATRIA CIUDAD DE TRUJILLO
2016-2021	00048	00048/2016-CR	Retirado	2016/08/15	2016/09/09	Primera Legislatura Ordinaria 2016	Congreso	Célula Parlamentaria Aprista	"Rodríguez Zavaleta Elías Nicolás;Velásquez Quesquén Angel Javier;León Romero Luciana Milagros"	""	"Trabajo y Seguridad Social;Economía, Banca, Finanzas e Inteligencia Financiera"	true	LEY DE CUENTA ESPECIAL PREVISIONAL
2016-2021	00049	00049/2016-CR	Retirado	2016/08/15	2016/09/22	Primera Legislatura Ordinaria 2016	Congreso	Célula Parlamentaria Aprista	"Rodríguez Zavaleta Elías Nicolás;León Romero Luciana Milagros;Velásquez Quesquén Angel Javier"	""	"Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado"	true	LEY QUE DECLARA COMO ZONA DE INTERÉS NACIONAL LA PROVINCIA DE TRUJILLO, DEPARTAMENTO DE LA LIBERTAD PARA LA CREACIÓN DE LOS DISTRITOS DE ALTO TRUJILLO Y EL MILAGRO
2016-2021	00050	00050/2016-CR	En comisión	2016/08/16	2016/08/25	Primera Legislatura Ordinaria 2016	Congreso	Fuerza Popular	"Salaverry Villa Daniel Enrique;Galarreta Velarde Luis Fernando;Bartra Barriga Rosa María;Castro Grández Miguel Antonio;Elías Ávalos Miguel Ángel;Figueroa Minaya Modesto;Gonzales Ardiles Juan Carlos Eugenio;Segura Izquierdo César Antonio"	""	"Economía, Banca, Finanzas e Inteligencia Financiera;Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado"	true	TRIBUTACIÓN.-MUNICIPAL D.L.776/MODIFICA LOS ARTÍCULOS 76, 89 DE LA LEY DE..
